city,county_name,state_name,short_url,day,lat,lng,search_url
Ashland,Jackson County,Oregon,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,42.1905,-122.6992,https://wilfordwoodruffpapers.org/places?search=Ashland+Oregon
Edgewood,Siskiyou County,California,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,41.462,-122.426,https://wilfordwoodruffpapers.org/places?search=Edgewood+California
Grants Pass,Josephine County,Oregon,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,42.4333,-123.3317,https://wilfordwoodruffpapers.org/places?search=Grants+Pass+Oregon
Mount Shasta,Siskiyou County,California,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,41.3206,-122.315,https://wilfordwoodruffpapers.org/places?search=Mount+Shasta+California
Albany,Linn County,Oregon,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,44.6274,-123.0966,https://wilfordwoodruffpapers.org/places?search=Albany+Oregon
Oregon City,Clackamas County,Oregon,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,45.3415,-122.5927,https://wilfordwoodruffpapers.org/places?search=Oregon+City+Oregon
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/rmEK,1895-09-30,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Vernal,Uintah County,Utah,https://wilfordwoodruffpapers.org/p/rmEK,1895-09-30,40.4517,-109.5379,https://wilfordwoodruffpapers.org/places?search=Vernal+Utah
Chicago,Cook County,Illinois,https://wilfordwoodruffpapers.org/p/ojv3,1898-05-31,41.8373,-87.6862,https://wilfordwoodruffpapers.org/places?search=Chicago+Illinois
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/ojv3,1898-05-31,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Oasis,Millard County,Utah,https://wilfordwoodruffpapers.org/p/ojv3,1898-05-31,39.2923,-112.629,https://wilfordwoodruffpapers.org/places?search=Oasis+Utah
Chicago,Cook County,Illinois,https://wilfordwoodruffpapers.org/p/ngYE,1894-10-13,41.8373,-87.6862,https://wilfordwoodruffpapers.org/places?search=Chicago+Illinois
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/ngYE,1894-10-13,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/ngYE,1894-10-13,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/l2vr,1895-05-31,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/gnx3,1897-09-16,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Huntington,Emery County,Utah,https://wilfordwoodruffpapers.org/p/gnx3,1897-09-16,39.3301,-110.9628,https://wilfordwoodruffpapers.org/places?search=Huntington+Utah
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/gnx3,1897-09-16,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
Baker City,Baker County,Oregon,https://wilfordwoodruffpapers.org/p/gnx3,1897-09-16,44.7749,-117.832,https://wilfordwoodruffpapers.org/places?search=Baker+City+Oregon
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/002K,1895-09-23,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Vernal,Uintah County,Utah,https://wilfordwoodruffpapers.org/p/002K,1895-09-23,40.4517,-109.5379,https://wilfordwoodruffpapers.org/places?search=Vernal+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/9DpZ,1898-02-23,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
St. George,Washington County,Utah,https://wilfordwoodruffpapers.org/p/9DpZ,1898-02-23,37.077,-113.577,https://wilfordwoodruffpapers.org/places?search=St.+George+Utah
Chicago,Cook County,Illinois,https://wilfordwoodruffpapers.org/p/7pnr,1894-07-13,41.8373,-87.6862,https://wilfordwoodruffpapers.org/places?search=Chicago+Illinois
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/7pnr,1894-07-13,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/6Bml,1894-10-06,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/5Rlv,1897-05-11,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/4zkn,1895-05-22,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Farmington,Davis County,Utah,https://wilfordwoodruffpapers.org/p/4zkn,1895-05-22,40.9846,-111.9065,https://wilfordwoodruffpapers.org/places?search=Farmington+Utah
Hinckley,Millard County,Utah,https://wilfordwoodruffpapers.org/p/3yjx,1898-05-22,39.3336,-112.6736,https://wilfordwoodruffpapers.org/places?search=Hinckley+Utah
Oasis,Millard County,Utah,https://wilfordwoodruffpapers.org/p/3yjx,1898-05-22,39.2923,-112.629,https://wilfordwoodruffpapers.org/places?search=Oasis+Utah
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/27gN,1897-09-10,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
Nampa,Canyon County,Idaho,https://wilfordwoodruffpapers.org/p/27gN,1897-09-10,43.5845,-116.5631,https://wilfordwoodruffpapers.org/places?search=Nampa+Idaho
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/1GYP,1895-09-11,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/YyQn,1898-02-15,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Vernal,Uintah County,Utah,https://wilfordwoodruffpapers.org/p/YyQn,1898-02-15,40.4517,-109.5379,https://wilfordwoodruffpapers.org/places?search=Vernal+Utah
Ephraim,Sanpete County,Utah,https://wilfordwoodruffpapers.org/p/Xr7A,1897-07-09,39.3564,-111.5847,https://wilfordwoodruffpapers.org/places?search=Ephraim+Utah
Granite,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/WQwv,1894-07-06,40.5711,-111.7959,https://wilfordwoodruffpapers.org/places?search=Granite+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/V75W,1894-09-25,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Logan,Cache County,Utah,https://wilfordwoodruffpapers.org/p/Q6NL,1897-09-06,41.74,-111.8419,https://wilfordwoodruffpapers.org/places?search=Logan+Utah
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/Q6NL,1897-09-06,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/Q6NL,1897-09-06,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/PzMW,1895-05-17,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Brigham City,Box Elder County,Utah,https://wilfordwoodruffpapers.org/p/PzMW,1895-05-17,41.5034,-112.0454,https://wilfordwoodruffpapers.org/places?search=Brigham+City+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/OPEL,1895-09-07,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Farmington,Davis County,Utah,https://wilfordwoodruffpapers.org/p/OPEL,1895-09-07,40.9846,-111.9065,https://wilfordwoodruffpapers.org/places?search=Farmington+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/NYEp,1898-05-19,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Deseret,Millard County,Utah,https://wilfordwoodruffpapers.org/p/NYEp,1898-05-19,39.2876,-112.6512,https://wilfordwoodruffpapers.org/places?search=Deseret+Utah
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/MJE5,1897-06-30,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
St. George,Washington County,Utah,https://wilfordwoodruffpapers.org/p/LvYA,1898-02-08,37.077,-113.577,https://wilfordwoodruffpapers.org/places?search=St.+George+Utah
Oasis,Millard County,Utah,https://wilfordwoodruffpapers.org/p/LvYA,1898-02-08,39.2923,-112.629,https://wilfordwoodruffpapers.org/places?search=Oasis+Utah
Randolph,Rich County,Utah,https://wilfordwoodruffpapers.org/p/KLYY,1894-06-28,41.6644,-111.1857,https://wilfordwoodruffpapers.org/places?search=Randolph+Utah
Woodruff,Rich County,Utah,https://wilfordwoodruffpapers.org/p/KLYY,1894-06-28,41.5212,-111.1639,https://wilfordwoodruffpapers.org/places?search=Woodruff+Utah
Willard,Box Elder County,Utah,https://wilfordwoodruffpapers.org/p/KLYY,1894-06-28,41.4146,-112.0446,https://wilfordwoodruffpapers.org/places?search=Willard+Utah
Laketown,Rich County,Utah,https://wilfordwoodruffpapers.org/p/KLYY,1894-06-28,41.8276,-111.3243,https://wilfordwoodruffpapers.org/places?search=Laketown+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/JNYP,1897-05-05,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/E0Z0,1894-09-21,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/DQYq,1897-08-30,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Soda Springs,Bingham County,Idaho,https://wilfordwoodruffpapers.org/p/DQYq,1897-08-30,42.659,-111.5878,https://wilfordwoodruffpapers.org/places?search=Soda+Springs+Idaho
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/BP8N,1895-08-30,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/BP8N,1895-08-30,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/AMQP,1895-05-12,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/AMQP,1895-05-12,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/y96P,1897-06-22,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/y96P,1897-06-22,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/v8jX,1898-01-31,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Nauvoo,Hancock County,Illinois,https://wilfordwoodruffpapers.org/p/rmYK,1897-08-24,40.5457,-91.3829,https://wilfordwoodruffpapers.org/places?search=Nauvoo+Illinois
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/ql2G,1895-05-07,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Denver,Denver County,Colorado,https://wilfordwoodruffpapers.org/p/ngzE,1894-09-13,39.7621,-104.8759,https://wilfordwoodruffpapers.org/places?search=Denver+Colorado
Vernal,Uintah County,Utah,https://wilfordwoodruffpapers.org/p/ngzE,1894-09-13,40.4517,-109.5379,https://wilfordwoodruffpapers.org/places?search=Vernal+Utah
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/mYEr,1897-06-16,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/l2pr,1898-04-28,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Vernal,Uintah County,Utah,https://wilfordwoodruffpapers.org/p/l2pr,1898-04-28,40.4517,-109.5379,https://wilfordwoodruffpapers.org/places?search=Vernal+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/kroE,1897-04-28,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/kroE,1897-04-28,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/j0nl,1898-01-18,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
